time,symbol,timeframe,action,score,price,reasoning
2026-06-25T06:57:47.176Z,BTC,paper,CLOSE_LONG,0,61780.64,Paper MANUAL: ROE +5.32% on 5× LONG
2026-06-25T06:56:24.326Z,ARB,4h,WEAK_SELL,-25,0.0771,RSI 39.8 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:24.313Z,OP,4h,WEAK_BUY,25,0.1089,RSI 64.4 (-5) | MACD (+15) | BB (-10) | Funding (+10)
2026-06-25T06:56:24.311Z,APT,4h,WEAK_SELL,-20,0.6348,MACD (-15) | Trend (-15)
2026-06-25T06:56:24.308Z,FIL,4h,WEAK_SELL,-20,0.7595,MACD (-15) | Trend (-15)
2026-06-25T06:56:23.850Z,UNI,4h,BUY,33,2.972,MACD (+15)
2026-06-25T06:56:23.848Z,LTC,4h,WEAK_SELL,-15,41.8,RSI 41.7 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:23.843Z,ATOM,4h,WEAK_SELL,-25,1.676,RSI 36.4 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:23.561Z,DOT,4h,WEAK_SELL,-25,0.894,RSI 40.4 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:23.545Z,LINK,4h,WEAK_SELL,-25,7.521,RSI 42.9 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:23.198Z,DOGE,4h,WEAK_SELL,-25,0.07728,RSI 38.8 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:23.181Z,SOL,4h,SELL,-34,69.44,MACD (-15) | Trend (-15)
2026-06-25T06:56:23.177Z,ADA,4h,WEAK_SELL,-15,0.15,RSI 43.0 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:22.930Z,ETH,4h,WEAK_SELL,-23,1653.46,RSI 44.6 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:22.928Z,BNB,4h,WEAK_SELL,-15,571.2,RSI 43.6 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:22.831Z,XRP,4h,SELL,-33,1.0882,RSI 40.9 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:22.828Z,BTC,4h,WEAK_SELL,-25,61771.58,RSI 43.2 (+5) | MACD (-15) | Trend (-15)
2026-06-25T06:56:22.820Z,BTC,paper,OPEN_SHORT,0,61788.2,"Paper LIMIT filled: 5× SHORT @ $61,100"
2026-06-24T22:14:30.880Z,OP,4h,BUY,31,0.1036,RSI 55.0 (-5) | MACD (+15) | Funding (+10)
2026-06-24T22:14:30.812Z,FIL,4h,SELL,-35,0.7546,RSI 43.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:30.810Z,ARB,4h,SELL,-35,0.0766,RSI 36.5 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:30.757Z,APT,4h,SELL,-30,0.6349,MACD (-15) | Trend (-15)
2026-06-24T22:14:30.623Z,LTC,4h,SELL,-35,41.13,RSI 35.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:30.541Z,NEAR,4h,WEAK_SELL,-20,1.966,RSI 38.1 (+5) | MACD (-15)
2026-06-24T22:14:30.527Z,UNI,4h,WEAK_SELL,-22,2.903,MACD (-15) | Trend (-15)
2026-06-24T22:14:30.243Z,DOT,4h,SELL,-35,0.889,RSI 36.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:30.164Z,BCH,4h,SELL,-35,190.2,RSI 41.6 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:30.162Z,LINK,4h,SELL,-35,7.454,RSI 38.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.929Z,DOGE,4h,SELL,-35,0.0761,RSI 31.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.795Z,TRX,4h,WEAK_SELL,-17,0.32767,MACD (-15)
2026-06-24T22:14:29.793Z,ADA,4h,SELL,-35,0.1481,RSI 38.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.703Z,SOL,4h,SELL,-49,68.11,RSI 40.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.577Z,BNB,4h,SELL,-35,564.7,RSI 36.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.553Z,ETH,4h,SELL,-43,1620.73,RSI 35.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.428Z,BTC,4h,SELL,-35,61030.01,RSI 35.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T22:14:29.422Z,XRP,4h,SELL,-43,1.076,RSI 33.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:20.528Z,FIL,4h,WEAK_SELL,-25,0.7412,RSI 39.6 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:20.478Z,APT,4h,WEAK_SELL,-20,0.6325,MACD (-15) | Trend (-15)
2026-06-24T21:51:20.465Z,ARB,4h,WEAK_SELL,-25,0.0762,RSI 34.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:20.464Z,OP,4h,BUY,41,0.1029,MACD (+15) | Funding (+10)
2026-06-24T21:51:20.307Z,LTC,4h,WEAK_SELL,-25,40.86,RSI 32.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:20.195Z,UNI,4h,WEAK_SELL,-22,2.889,MACD (-15) | Trend (-15)
2026-06-24T21:51:19.868Z,LINK,4h,WEAK_SELL,-25,7.422,RSI 37.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.866Z,DOT,4h,WEAK_SELL,-25,0.885,RSI 35.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.864Z,BCH,4h,WEAK_SELL,-25,189.2,RSI 39.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.533Z,ADA,4h,WEAK_SELL,-25,0.1461,RSI 34.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.516Z,SOL,4h,SELL,-33,67.86,RSI 39.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.243Z,XRP,4h,SELL,-33,1.074,RSI 32.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.197Z,BTC,4h,WEAK_SELL,-25,61066.92,RSI 36.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.176Z,ETH,4h,SELL,-33,1618.1,RSI 35.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:51:19.149Z,BNB,4h,WEAK_SELL,-25,563,RSI 35.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:06.109Z,APT,4h,WEAK_SELL,-25,0.627,RSI 43.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.996Z,OP,4h,WEAK_BUY,26,0.1023,MACD (+15) | Trend (-15) | Funding (+10)
2026-06-24T21:25:05.973Z,ARB,4h,WEAK_SELL,-25,0.076,RSI 33.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.971Z,FIL,4h,WEAK_SELL,-25,0.739,RSI 38.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.650Z,LTC,4h,WEAK_SELL,-25,40.78,RSI 32.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.632Z,UNI,4h,WEAK_SELL,-17,2.878,RSI 44.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.394Z,DOT,4h,WEAK_SELL,-25,0.881,RSI 33.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.392Z,LINK,4h,WEAK_SELL,-25,7.393,RSI 35.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:05.303Z,BCH,4h,WEAK_SELL,-25,188.4,RSI 38.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.966Z,DOGE,4h,WEAK_SELL,-18,0.07545,RSI 27.9 (+20) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.918Z,ADA,4h,WEAK_SELL,-25,0.1459,RSI 34.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.806Z,SOL,4h,WEAK_SELL,-25,67.46,RSI 36.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.652Z,ETH,4h,SELL,-33,1610.38,RSI 33.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.586Z,BTC,4h,WEAK_SELL,-25,60833.68,RSI 33.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.541Z,XRP,4h,SELL,-33,1.0708,RSI 31.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T21:25:04.539Z,BNB,4h,WEAK_SELL,-25,560.6,RSI 32.5 (+5) | MACD (-15) | Trend (-15)
2026-06-24T18:08:56.082Z,APT,4h,WEAK_SELL,-15,0.5979,RSI 31.5 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T18:08:55.853Z,UNI,4h,WEAK_SELL,-15,2.755,RSI 33.3 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T17:59:11.812Z,BTC,4h,HOLD,0,59335.07,RSI 21.8 (+20) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T17:58:47.680Z,APT,4h,WEAK_SELL,-15,0.5914,RSI 30.0 (+5) | MACD (-15) | Trend (-15) | BB (+10)
